,id,host_id,host_is_superhost,host_listings_count,neighbourhood,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews_ltm,review_scores_rating,price_normal
10221,24202805,129745417,0,3.0,15,8002,41.3816,2.1738,1,1,4,1.0,1.0,2.0,25.0,5,0,8,33,63,243,12,6,3.2188758248682006
10222,24203323,16556787,0,1.0,57,8028,41.37498,2.13277,16,1,2,1.0,1.0,1.0,59.0,3,0,16,33,48,48,3,6,4.07753744390572
10223,24203877,6804301,0,1.0,43,8041,41.41807,2.18273,1,1,2,1.0,1.0,1.0,60.0,4,0,0,0,0,0,0,8,4.0943445622221
10224,24205626,182467725,0,1.0,3,8001,41.38312,2.17018,1,0,6,1.0,3.0,4.0,60.0,32,0,0,7,7,229,3,6,4.0943445622221
10225,24206158,182265018,0,3.0,57,8004,41.37011,2.14165,1,1,2,1.5,1.0,1.0,59.0,1,0,5,33,63,153,52,7,4.07753744390572
10226,24215046,182406866,0,13.0,21,8024,41.40753,2.16347,1,0,6,2.0,3.0,6.0,53.0,32,0,11,40,40,240,0,8,3.970291913552122
10227,24215584,182406866,0,13.0,6,8013,41.40498,2.17814,1,0,6,2.0,4.0,6.0,65.0,32,0,8,38,68,343,0,8,4.174387269895637
10228,24216101,182406866,0,13.0,59,8006,41.40114,2.15005,1,0,6,2.0,3.0,6.0,73.0,32,0,8,38,68,343,0,8,4.290459441148391
10229,24217003,69815537,1,11.0,19,8001,41.38181,2.17048,1,0,6,2.0,3.0,5.0,115.0,30,0,5,5,5,207,2,7,4.74493212836325
10230,24217165,61360206,1,11.0,6,8010,41.39006,2.17613,1,0,4,2.0,2.0,4.0,420.0,3,0,30,60,90,365,1,7,6.040254711277414
10231,24217436,182406866,0,13.0,59,8006,41.40368,2.13782,1,0,7,2.0,3.0,5.0,50.0,32,0,19,42,42,202,0,8,3.912023005428146
10232,24217487,61360206,1,11.0,5,8010,41.39184,2.17608,1,0,4,2.0,2.0,4.0,420.0,3,0,27,57,87,362,2,7,6.040254711277414
10233,24217669,61360206,1,11.0,5,8010,41.39135,2.17568,1,0,4,2.0,2.0,4.0,390.0,3,0,30,60,90,365,0,7,5.966146739123692
10234,24218366,170051961,0,1.0,6,8015,41.37812,2.14625,1,0,5,1.0,3.0,3.0,135.0,2,0,7,20,50,325,16,5,4.90527477843843
10235,24218792,10547296,0,131.0,5,8013,41.39733,2.17449,1,0,3,1.0,1.0,2.0,150.0,2,0,5,10,15,125,19,6,5.0106352940962555
10236,24219332,73486753,0,1.0,19,8001,41.38063,2.17276,1,1,3,1.0,1.0,3.0,45.0,1,0,5,18,48,48,41,7,3.8066624897703196
10237,24220365,9894630,1,1.0,19,8001,41.37833,2.17334,21,0,4,1.5,1.0,2.0,55.0,32,0,13,24,54,329,3,7,4.007333185232471
10238,24224197,182628815,0,1.0,21,8012,41.40203,2.1602,1,0,4,1.0,2.0,3.0,104.0,2,0,8,26,56,331,40,7,4.6443908991413725
10239,24224594,182632653,0,1.0,17,8005,41.40115,2.20304,1,0,6,1.0,3.0,5.0,132.0,2,0,2,20,50,320,11,6,4.882801922586371
